mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2332455635070801,0.02716616344955145,0.010549163818359375,0.007533132971750292,5,sqrt,1,12,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 12}",-23185.288049669743,-23236.521861618086,-23978.55594820309,-22502.15625410985,-23087.450010524914,-23197.994424825138,470.6023660142208,337
0.2583357810974121,0.021972881636357678,0.007702922821044922,0.001994062886084288,5,sqrt,1,13,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 13}",-23469.206995386063,-22533.035404596354,-24114.717216061577,-22016.138376828887,-22719.53522905669,-22970.526644385915,737.9846065463952,311
0.27357187271118166,0.026765021880077514,0.008102512359619141,0.0030697662701279784,5,sqrt,1,14,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 14}",-22995.45180905714,-22437.253810600323,-23939.91596973442,-22093.566767121836,-23720.277099889674,-23037.29309128068,711.8444244203358,321
0.24135656356811525,0.02806839482670585,0.00790410041809082,0.002658928856288989,5,sqrt,1,16,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 16}",-24199.1413487618,-22309.45113764652,-24032.889672761834,-21611.62474346904,-23170.55164274415,-23064.731709076666,991.7037386937901,324
0.2540881156921387,0.02244114495787772,0.006102228164672851,0.0010182242005345294,5,sqrt,2,10,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10}",-23705.929824049163,-22980.709075671148,-23904.17074967961,-21862.541368940332,-22898.12653053944,-23070.295509775937,720.5160440265718,325
0.23489103317260743,0.025812204546926173,0.0078068733215332035,0.0018643107678871643,5,sqrt,2,12,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 12}",-23137.250141689165,-22875.845661628995,-24024.419174953095,-21760.56350252571,-23305.165331592478,-23020.64876247789,736.3264766473573,320
0.25170373916625977,0.026450740451632586,0.006400012969970703,0.0011997939328724863,5,sqrt,2,13,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 13}",-23200.679382175535,-22470.992583435407,-24389.774103301,-22100.588428852807,-22723.472823012886,-22977.101464155527,791.7549947583047,313
0.24747424125671386,0.015602640162122636,0.009103965759277344,0.005441768324705973,5,sqrt,2,14,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 14}",-23271.45870007687,-22430.084566852078,-23973.85143322149,-21854.8900258416,-23342.740162486414,-22974.60497769569,744.63456498933,312
0.23524160385131837,0.02611494574775836,0.009004163742065429,0.0037364478203093807,5,sqrt,2,16,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 16}",-23338.41661394949,-22647.986704296716,-23981.359129497254,-22263.887795410592,-23561.264294291395,-23158.58290748909,621.713921196874,334
0.2323528289794922,0.030183587743495145,0.006805849075317383,0.0009828686297043221,5,sqrt,3,10,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 10}",-23157.56433719275,-22644.992919279517,-23738.83668584751,-21952.97169122556,-22866.701686318072,-22872.21346397268,588.0690302893028,305
0.2280442237854004,0.02769078150077761,0.006218671798706055,0.0011889947686992235,5,sqrt,3,12,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 12}",-23224.502157126662,-23336.648622746543,-23612.4942696324,-21882.912358353857,-22960.30627222677,-23003.37273601725,598.044523172993,318
0.24320545196533203,0.04229245562529073,0.0074121952056884766,0.0019304843777287763,5,sqrt,3,13,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 13}",-23345.032074395036,-22937.48285356238,-24850.219291235593,-21632.62293641355,-23236.082297244553,-23200.28789057022,1026.7566061311322,338
0.2556586742401123,0.029540211549938914,0.009215879440307616,0.004810779791967307,5,sqrt,3,14,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 14}",-22577.682849931378,-22959.578184187543,-24019.10252552147,-21909.606915811783,-23511.211743838092,-22995.436443858052,730.5814192573023,317
0.21515235900878907,0.027604592762025676,0.006119918823242187,0.0014198620683502142,5,sqrt,3,16,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 16}",-23197.595138618693,-23161.556889692034,-24042.621857029535,-21395.407589442675,-22971.838220429247,-22953.803939042435,862.2116113548002,308
0.24349536895751953,0.02331403452142007,0.009000253677368165,0.003846946771056819,5,sqrt,4,10,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10}",-23073.374582873817,-22890.34500823656,-23259.75105060445,-21471.657229537544,-22938.084930902027,-22726.64256043088,640.4564475259806,301
0.2312708854675293,0.025202252077346866,0.006505393981933593,0.001410884181479381,5,sqrt,4,12,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 12}",-23782.306720946144,-23074.764365962434,-24345.551494607513,-22176.087602031326,-22686.379958990095,-23213.018028507504,771.8041342204916,339
0.22660245895385742,0.01902167838230722,0.008309650421142577,0.005127882350822911,5,sqrt,4,13,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 13}",-23185.030718261507,-23101.577644107256,-23736.536609235744,-22196.225892090657,-22841.082993462132,-23012.09077143146,501.5210980548303,319
0.22253947257995604,0.023207924369147006,0.007318925857543945,0.0026528251570732313,5,sqrt,4,14,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 14}",-22863.90358132321,-23377.555244608728,-23963.01967972418,-22166.478425232763,-23371.674404518322,-23148.52626708144,601.843321796468,331
